company,trade,email,phone
Iron Ridge Electric,Electrical,ops@ironridge.example,+15550144001
Apex Concrete,Concrete,office@apexconcrete.example,+15550144002
Northline Steel,Structural steel,shop@northlinesteel.example,+15550144003
Harbor Mechanical,HVAC,dispatch@harbormechanical.example,+15550144004
Cedar & Stone Masonry,Masonry,bids@cedarstone.example,+15550144005
Pacific Drywall,Drywall,crew@pacificdrywall.example,+15550144006
Red Oak Flooring,Flooring,hello@redoakfloor.example,+15550144007
Summit Roofing,Roofing,jobs@summitroof.example,+15550144008
Blue River Plumbing,Plumbing,shop@blueriverplumb.example,+15550144009
Atlas Fire Protection,Fire sprinkler,ops@atlasfire.example,+15550144010
Keystone Glazing,Glass and glazing,estimating@keystoneglaze.example,+15550144011
Pioneer Painting,Painting,office@pioneerpaint.example,+15550144012
Granite State Tile,Tile,info@granitestate.example,+15550144013
Westfork Excavation,Earthwork,dispatch@westforkex.example,+15550144014
Miller Rebar,Reinforcing steel,yard@millerrebar.example,+15550144015
Canyon Insulation,Insulation,office@canyoninsul.example,+15550144016
Lakeside Waterproofing,Waterproofing,jobs@lakesidewp.example,+15550144017
Horizon Elevator,Elevators,service@horizonelev.example,+15550144018
Sparrow Acoustics,Ceilings,bids@sparrowacoustics.example,+15550144019
Copperline Electric,Electrical,ops@copperline.example,+15550144020
Ridgeway Carpentry,Rough carpentry,shop@ridgewaycarp.example,+15550144021
Oak & Iron Millwork,Finish carpentry,studio@oakiron.example,+15550144022
Delta Sheet Metal,Sheet metal,fab@deltasheet.example,+15550144023
Prairie Landscaping,Landscaping,crew@prairieland.example,+15550144024
Bolt & Anchor,Miscellaneous metals,shop@boltanchor.example,+15550144025
Clearspan Precast,Precast concrete,yard@clearspan.example,+15550144026
Nightwatch Security Systems,Low voltage,ops@nightwatchlv.example,+15550144027
Southbay Paving,Asphalt,dispatch@southbaypave.example,+15550144028
True North Surveying,Survey,field@truenorthsurv.example,+15550144029
Harborline Caulking,Sealants,office@harborlinecaulk.example,+15550144030
Ember Mechanical,HVAC,service@embermech.example,+15550144031
Silver Creek Electric,Electrical,ops@silvercreekel.example,+15550144032
Foothill Framing,Framing,crew@foothillframe.example,+15550144033
Riverbend Masonry,Masonry,shop@riverbendmas.example,+15550144034
Northstar Glass,Glazing,estimating@northstarglass.example,+15550144035
Pinecrest Painting,Painting,office@pinecrestpaint.example,+15550144036
Alder Roofing,Roofing,jobs@alderroof.example,+15550144037
Metro Fire Stop,Firestopping,ops@metrofirestop.example,+15550144038
Beacon Signage,Signage,studio@beaconsign.example,+15550144039
Tidal Plumbing,Plumbing,dispatch@tidalplumb.example,+15550144040
Quarry Stoneworks,Stone,yard@quarrystone.example,+15550144041
Windmill Windows,Windows,shop@windmillwin.example,+15550144042
Ashford Doors,Doors and hardware,office@ashforddoors.example,+15550144043
Redline Striping,Pavement marking,crew@redlinestripe.example,+15550144044
Basin Drilling,Drilled piers,field@basindrill.example,+15550144045
Cove Acoustical,Acoustical,bids@coveacoustical.example,+15550144046
Ironwood Welding,Structural steel,shop@ironwoodweld.example,+15550144047
Sunbelt Stucco,Stucco,crew@sunbeltstucco.example,+15550144048
Maple Line Cabinets,Casework,studio@mapleline.example,+15550144049
Harbor Tile,Tile,office@harbortile.example,+15550144050
Peak Scaffold,Scaffolding,yard@peakscaffold.example,+15550144051
